minute,slippage_per_share,x_t_allocated
2025-04-03 13:30:00+00:00,0.27,0
2025-04-03 13:31:00+00:00,0.31,0
2025-04-03 13:32:00+00:00,0.085,1
2025-04-03 13:33:00+00:00,0.11,1
2025-04-03 13:34:00+00:00,0.235,0
2025-04-03 13:35:00+00:00,0.13,1
2025-04-03 13:36:00+00:00,0.13,1
2025-04-03 13:37:00+00:00,0.087,1
2025-04-03 13:38:00+00:00,0.05,2
2025-04-03 13:39:00+00:00,0.095,1
2025-04-03 13:40:00+00:00,0.21,0
2025-04-03 13:41:00+00:00,0.12,1
2025-04-03 13:42:00+00:00,0.11,1
2025-04-03 13:43:00+00:00,0.105,1
2025-04-03 13:44:00+00:00,0.108,1
2025-04-03 13:45:00+00:00,0.06,2
2025-04-03 13:46:00+00:00,0.095,1
2025-04-03 13:47:00+00:00,0.09,1
2025-04-03 13:48:00+00:00,0.08,1
2025-04-03 13:49:00+00:00,0.045,2
2025-04-03 13:50:00+00:00,0.135,1
2025-04-03 13:51:00+00:00,0.135,1
2025-04-03 13:52:00+00:00,0.075,1
2025-04-03 13:53:00+00:00,0.11,1
2025-04-03 13:54:00+00:00,0.095,1
2025-04-03 13:55:00+00:00,0.07,1
2025-04-03 13:56:00+00:00,0.175,1
2025-04-03 13:57:00+00:00,0.22,0
2025-04-03 13:58:00+00:00,0.135,1
2025-04-03 13:59:00+00:00,0.055,2
2025-04-03 14:00:00+00:00,0.1,1
2025-04-03 14:01:00+00:00,0.065,1
2025-04-03 14:02:00+00:00,0.07,1
2025-04-03 14:03:00+00:00,0.025,4
2025-04-03 14:04:00+00:00,0.05,2
2025-04-03 14:05:00+00:00,0.125,1
2025-04-03 14:06:00+00:00,0.05,2
2025-04-03 14:07:00+00:00,0.03,3
2025-04-03 14:08:00+00:00,0.11,1
2025-04-03 14:09:00+00:00,0.11,1
2025-04-03 14:10:00+00:00,0.15,1
2025-04-03 14:11:00+00:00,0.105,1
2025-04-03 14:12:00+00:00,0.015,6
2025-04-03 14:13:00+00:00,0.05,2
2025-04-03 14:14:00+00:00,0.065,1
2025-04-03 14:15:00+00:00,0.329,0
2025-04-03 14:16:00+00:00,0.11,1
2025-04-03 14:17:00+00:00,0.05,2
2025-04-03 14:18:00+00:00,0.14,1
2025-04-03 14:19:00+00:00,0.12,1
2025-04-03 14:20:00+00:00,0.145,1
2025-04-03 14:21:00+00:00,0.155,1
2025-04-03 14:22:00+00:00,0.06,2
2025-04-03 14:23:00+00:00,0.035,3
2025-04-03 14:24:00+00:00,0.055,2
2025-04-03 14:25:00+00:00,0.125,1
2025-04-03 14:26:00+00:00,0.05,2
2025-04-03 14:27:00+00:00,0.155,1
2025-04-03 14:28:00+00:00,0.255,0
2025-04-03 14:29:00+00:00,0.09,1
2025-04-03 14:30:00+00:00,0.075,1
2025-04-03 14:31:00+00:00,0.117,1
2025-04-03 14:32:00+00:00,0.04,2
2025-04-03 14:33:00+00:00,0.125,1
2025-04-03 14:34:00+00:00,0.12,1
2025-04-03 14:35:00+00:00,0.025,4
2025-04-03 14:36:00+00:00,0.085,1
2025-04-03 14:37:00+00:00,0.29,0
2025-04-03 14:38:00+00:00,0.095,1
2025-04-03 14:39:00+00:00,0.13,1
2025-04-03 14:40:00+00:00,0.065,1
2025-04-03 14:41:00+00:00,0.035,3
2025-04-03 14:42:00+00:00,0.14,1
2025-04-03 14:43:00+00:00,0.13,1
2025-04-03 14:44:00+00:00,0.105,1
2025-04-03 14:45:00+00:00,0.135,1
2025-04-03 14:46:00+00:00,0.185,1
2025-04-03 14:47:00+00:00,0.14,1
2025-04-03 14:48:00+00:00,0.15,1
2025-04-03 14:49:00+00:00,0.3,0
2025-04-03 14:50:00+00:00,0.125,1
2025-04-03 14:51:00+00:00,0.09,1
2025-04-03 14:52:00+00:00,0.19,1
2025-04-03 14:53:00+00:00,0.065,1
2025-04-03 14:54:00+00:00,0.115,1
2025-04-03 14:55:00+00:00,0.156,1
2025-04-03 14:56:00+00:00,0.285,0
2025-04-03 14:57:00+00:00,0.1,1
2025-04-03 14:58:00+00:00,0.08,1
2025-04-03 14:59:00+00:00,0.13,1
2025-04-03 15:00:00+00:00,0.235,0
